epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
186,10308,0.48778,0.34241,0.92137,0.94738,0.8275,0.87921,0.63494,0.96159,0.43639,1.17198,0.003895,0.003895,0.003895
187,10355.2,0.48666,0.33849,0.92166,0.95472,0.82058,0.88068,0.64191,0.95776,0.4433,1.1747,0.003862,0.003862,0.003862
188,10402.8,0.48719,0.33822,0.92304,0.93958,0.82467,0.87677,0.63803,0.96786,0.44129,1.19292,0.003829,0.003829,0.003829
189,10450.2,0.48371,0.33831,0.92613,0.95136,0.82784,0.8832,0.64413,0.95202,0.43305,1.18345,0.003796,0.003796,0.003796
190,10497.7,0.48339,0.33432,0.92039,0.9536,0.82927,0.88429,0.64368,0.9506,0.42635,1.1764,0.003763,0.003763,0.003763
191,10545.1,0.48632,0.33827,0.91865,0.95363,0.81863,0.88245,0.64215,0.96029,0.43687,1.17135,0.00373,0.00373,0.00373
192,10592.7,0.48056,0.33268,0.91658,0.9603,0.81826,0.8805,0.64843,0.94028,0.44015,1.14825,0.003697,0.003697,0.003697
193,10640.4,0.47694,0.3329,0.91855,0.95459,0.82281,0.88393,0.64285,0.93928,0.44407,1.15069,0.003664,0.003664,0.003664
194,10688.1,0.47192,0.3327,0.91914,0.95203,0.81604,0.88139,0.645,0.9527,0.44293,1.17609,0.003631,0.003631,0.003631
195,10735.4,0.47573,0.32844,0.91428,0.96263,0.80288,0.87759,0.64503,0.94997,0.44113,1.16711,0.003598,0.003598,0.003598
196,10783.2,0.47699,0.33213,0.9198,0.94713,0.81208,0.87852,0.64306,0.95304,0.44226,1.17526,0.003565,0.003565,0.003565
197,10830.8,0.47316,0.33105,0.91641,0.94507,0.81237,0.88199,0.64161,0.95279,0.44116,1.17598,0.003532,0.003532,0.003532
198,10878.4,0.47234,0.33078,0.91744,0.9391,0.82449,0.88038,0.64527,0.95207,0.4305,1.17465,0.003499,0.003499,0.003499
199,10926,0.46947,0.32788,0.91581,0.95053,0.82768,0.88141,0.6481,0.93979,0.42936,1.16353,0.003466,0.003466,0.003466
200,10973.5,0.46905,0.32925,0.91646,0.94826,0.82444,0.88205,0.64749,0.94586,0.42921,1.16581,0.003433,0.003433,0.003433
201,11021.2,0.4733,0.32808,0.91153,0.9511,0.83228,0.88214,0.64875,0.93811,0.43343,1.15555,0.0034,0.0034,0.0034
202,11068.8,0.46852,0.32354,0.91328,0.94959,0.82946,0.88509,0.64848,0.95681,0.43745,1.16452,0.003367,0.003367,0.003367
203,11116.7,0.46874,0.32575,0.91289,0.95338,0.81707,0.88073,0.64414,0.96393,0.43999,1.17342,0.003334,0.003334,0.003334
204,11164.7,0.46646,0.32561,0.91645,0.96323,0.81282,0.8772,0.64102,0.96538,0.43706,1.17055,0.003301,0.003301,0.003301
205,11212.2,0.46517,0.32722,0.91799,0.94199,0.82146,0.8776,0.64763,0.94748,0.43738,1.16471,0.003268,0.003268,0.003268
206,11259.7,0.46374,0.32495,0.91445,0.94683,0.82675,0.8792,0.64135,0.95816,0.4426,1.17194,0.003235,0.003235,0.003235
207,11307.5,0.4563,0.32112,0.90911,0.95144,0.81802,0.87789,0.6414,0.95304,0.448,1.16216,0.003202,0.003202,0.003202
208,11355,0.46122,0.32722,0.91317,0.95673,0.81134,0.88203,0.63881,0.96167,0.44661,1.17081,0.003169,0.003169,0.003169
209,11402.6,0.46029,0.32299,0.91186,0.95507,0.81106,0.88365,0.63958,0.9652,0.43911,1.17611,0.003136,0.003136,0.003136
210,11450.2,0.45409,0.31479,0.90967,0.93939,0.82287,0.88532,0.64158,0.97134,0.43525,1.17968,0.003103,0.003103,0.003103
211,11497.5,0.45659,0.31844,0.90963,0.94195,0.82798,0.88973,0.64692,0.9619,0.43849,1.17497,0.00307,0.00307,0.00307
212,11545,0.45599,0.31569,0.90924,0.93882,0.82854,0.8886,0.64689,0.95458,0.43851,1.16829,0.003037,0.003037,0.003037
213,11592.5,0.44696,0.31312,0.90591,0.95232,0.81514,0.88669,0.64539,0.94505,0.43604,1.16264,0.003004,0.003004,0.003004
214,11640.1,0.45483,0.31449,0.90407,0.95087,0.8171,0.88659,0.65067,0.93418,0.4377,1.15694,0.002971,0.002971,0.002971
215,11687.8,0.44629,0.31276,0.90578,0.95864,0.81817,0.88808,0.65227,0.93076,0.43372,1.15372,0.002938,0.002938,0.002938
216,11735.7,0.45134,0.31462,0.90983,0.95752,0.82136,0.88763,0.64765,0.93869,0.42838,1.16171,0.002905,0.002905,0.002905
217,11783.1,0.44734,0.3118,0.90438,0.94784,0.82718,0.88911,0.64845,0.94245,0.43549,1.16523,0.002872,0.002872,0.002872
218,11830.9,0.44634,0.31129,0.90318,0.94896,0.82462,0.88931,0.65004,0.9433,0.4278,1.16912,0.002839,0.002839,0.002839
219,11878.5,0.44642,0.31093,0.90358,0.96529,0.81118,0.89128,0.65505,0.92905,0.42538,1.16439,0.002806,0.002806,0.002806
220,11926.4,0.43994,0.30338,0.90029,0.94905,0.83036,0.89389,0.6563,0.93028,0.42744,1.16578,0.002773,0.002773,0.002773
221,11974.2,0.44763,0.31325,0.90442,0.95918,0.81671,0.89213,0.65483,0.92717,0.42663,1.15714,0.00274,0.00274,0.00274
222,12022,0.44157,0.30776,0.90112,0.954,0.81931,0.88722,0.65424,0.92153,0.42568,1.1473,0.002707,0.002707,0.002707
223,12069.3,0.44225,0.30586,0.90219,0.9535,0.81828,0.892,0.6544,0.91994,0.42718,1.14325,0.002674,0.002674,0.002674
224,12117,0.44124,0.30717,0.90497,0.96088,0.81527,0.89045,0.65143,0.92866,0.44056,1.15102,0.002641,0.002641,0.002641
225,12164.6,0.43622,0.30473,0.89995,0.94636,0.81757,0.88831,0.64939,0.92916,0.43464,1.15157,0.002608,0.002608,0.002608
226,12212,0.43553,0.30437,0.89819,0.95853,0.8158,0.8871,0.65256,0.93405,0.43826,1.15545,0.002575,0.002575,0.002575
227,12259.3,0.43916,0.30502,0.89888,0.94089,0.8264,0.88916,0.64928,0.92924,0.44018,1.15535,0.002542,0.002542,0.002542
228,12306.9,0.43711,0.30415,0.89997,0.9479,0.82376,0.88965,0.65169,0.93337,0.44092,1.16389,0.002509,0.002509,0.002509
229,12354.5,0.43656,0.30157,0.89951,0.93259,0.82448,0.88498,0.64895,0.93834,0.43941,1.17015,0.002476,0.002476,0.002476
230,12402.1,0.43797,0.30444,0.90228,0.94248,0.83393,0.88618,0.64837,0.93648,0.43571,1.17337,0.002443,0.002443,0.002443
231,12449.7,0.42956,0.29774,0.89442,0.94632,0.8309,0.88853,0.65048,0.93726,0.43666,1.1748,0.00241,0.00241,0.00241
232,12497.2,0.42804,0.29796,0.89857,0.94392,0.83517,0.89022,0.65042,0.93651,0.43842,1.17431,0.002377,0.002377,0.002377
233,12545.1,0.42811,0.29998,0.89893,0.9403,0.84041,0.89168,0.65064,0.93711,0.4212,1.16885,0.002344,0.002344,0.002344
234,12592.6,0.43115,0.29861,0.89336,0.94897,0.82577,0.88842,0.64914,0.93568,0.42349,1.16741,0.002311,0.002311,0.002311
235,12640,0.42961,0.29643,0.89322,0.93901,0.83685,0.88635,0.6528,0.93288,0.41546,1.16074,0.002278,0.002278,0.002278
236,12687.7,0.42989,0.29782,0.8952,0.94287,0.83931,0.88999,0.65613,0.92743,0.41716,1.15903,0.002245,0.002245,0.002245
237,12735.7,0.42479,0.29632,0.89893,0.96337,0.82057,0.88798,0.65488,0.92815,0.41664,1.16341,0.002212,0.002212,0.002212
238,12783.6,0.42628,0.29482,0.89899,0.96287,0.82014,0.88805,0.65636,0.92985,0.4164,1.16916,0.002179,0.002179,0.002179
239,12831.1,0.42626,0.29614,0.8971,0.96029,0.81833,0.8882,0.656,0.93013,0.41552,1.17157,0.002146,0.002146,0.002146
240,12879.4,0.4183,0.29369,0.89546,0.95383,0.82361,0.88923,0.65381,0.92799,0.41476,1.17159,0.002113,0.002113,0.002113
241,12927.1,0.41854,0.29294,0.89543,0.95262,0.81979,0.88737,0.65648,0.92196,0.41161,1.16674,0.00208,0.00208,0.00208
242,12974.5,0.42072,0.2911,0.89414,0.94487,0.82447,0.88552,0.65761,0.92413,0.41855,1.16937,0.002047,0.002047,0.002047
243,13022.6,0.4157,0.28792,0.89342,0.94433,0.82658,0.88598,0.65979,0.91697,0.4168,1.16416,0.002014,0.002014,0.002014
244,13070.4,0.41536,0.28948,0.89513,0.95041,0.8204,0.88759,0.6563,0.91566,0.41335,1.16954,0.001981,0.001981,0.001981
245,13118.2,0.41775,0.29071,0.89695,0.9492,0.82995,0.88997,0.65783,0.92148,0.41052,1.17741,0.001948,0.001948,0.001948
246,13166.1,0.41778,0.28951,0.89782,0.95014,0.83214,0.89065,0.65813,0.92315,0.41069,1.17426,0.001915,0.001915,0.001915
247,13214,0.41471,0.2901,0.89337,0.95566,0.83578,0.89065,0.65821,0.92373,0.414,1.17065,0.001882,0.001882,0.001882
248,13261.6,0.41562,0.28947,0.89079,0.95838,0.83392,0.89247,0.65761,0.92642,0.41578,1.16827,0.001849,0.001849,0.001849
249,13309,0.41508,0.2873,0.8919,0.9544,0.83476,0.89155,0.65813,0.9269,0.41312,1.16248,0.001816,0.001816,0.001816
250,13356.3,0.40847,0.28399,0.88727,0.95416,0.83921,0.89224,0.65793,0.92986,0.41088,1.16347,0.001783,0.001783,0.001783
251,13403.7,0.40901,0.28336,0.8898,0.95593,0.83723,0.89275,0.65911,0.92715,0.41003,1.16126,0.00175,0.00175,0.00175
252,13451.7,0.40677,0.28342,0.88832,0.95337,0.83329,0.89289,0.66024,0.92465,0.40706,1.16055,0.001717,0.001717,0.001717
253,13499.3,0.40458,0.27898,0.88471,0.94897,0.83705,0.89483,0.65971,0.92507,0.40849,1.16158,0.001684,0.001684,0.001684
254,13546.9,0.40885,0.28511,0.88861,0.94466,0.83746,0.89073,0.6599,0.92797,0.40684,1.16496,0.001651,0.001651,0.001651
255,13595,0.39925,0.27887,0.8853,0.95312,0.83399,0.89131,0.65945,0.92991,0.40815,1.17153,0.001618,0.001618,0.001618
256,13642.9,0.40391,0.28135,0.89067,0.95053,0.83004,0.89311,0.65699,0.93628,0.40963,1.17734,0.001585,0.001585,0.001585
257,13690.5,0.40346,0.28128,0.89104,0.95237,0.8314,0.89449,0.66065,0.93333,0.40892,1.17589,0.001552,0.001552,0.001552
258,13738.1,0.40524,0.28242,0.88833,0.9543,0.83017,0.89417,0.66163,0.93155,0.41071,1.1733,0.001519,0.001519,0.001519
259,13785.8,0.4014,0.27892,0.8866,0.94912,0.83214,0.89496,0.66094,0.92868,0.40741,1.169,0.001486,0.001486,0.001486
260,13833.6,0.39588,0.27686,0.88476,0.946,0.83186,0.89556,0.66199,0.9264,0.40836,1.16552,0.001453,0.001453,0.001453
261,13881.4,0.39484,0.2755,0.88684,0.94627,0.83307,0.89554,0.66122,0.9252,0.41095,1.16281,0.00142,0.00142,0.00142
262,13929.2,0.39745,0.276,0.88751,0.94807,0.83346,0.89667,0.66214,0.92784,0.41358,1.16523,0.001387,0.001387,0.001387
263,13976.9,0.39742,0.27292,0.88481,0.94224,0.83277,0.89484,0.66084,0.92997,0.41363,1.16442,0.001354,0.001354,0.001354
264,14024.5,0.39322,0.27413,0.88536,0.94067,0.8368,0.89332,0.65769,0.93051,0.41082,1.16406,0.001321,0.001321,0.001321
265,14072.1,0.39436,0.27306,0.88558,0.94433,0.83336,0.8947,0.6573,0.93186,0.40929,1.16682,0.001288,0.001288,0.001288
266,14119.6,0.38974,0.27094,0.88393,0.93777,0.83526,0.89102,0.65617,0.93448,0.4103,1.17192,0.001255,0.001255,0.001255
267,14167.3,0.39093,0.27282,0.88533,0.93946,0.83664,0.89341,0.65381,0.93293,0.40992,1.17111,0.001222,0.001222,0.001222
268,14215.3,0.39178,0.27359,0.88321,0.96077,0.82429,0.89655,0.65734,0.93208,0.40917,1.16978,0.001189,0.001189,0.001189
269,14262.7,0.39156,0.27392,0.88598,0.94714,0.83752,0.89477,0.65723,0.93456,0.41157,1.17323,0.001156,0.001156,0.001156
270,14310.7,0.38817,0.26949,0.88193,0.95084,0.83386,0.89469,0.65566,0.93416,0.40985,1.17497,0.001123,0.001123,0.001123
271,14358.9,0.38492,0.26959,0.88223,0.94753,0.83584,0.89038,0.65554,0.9373,0.40846,1.17901,0.00109,0.00109,0.00109
272,14406.8,0.38081,0.26767,0.87602,0.94464,0.83326,0.89195,0.65559,0.93813,0.41095,1.18158,0.001057,0.001057,0.001057
273,14455.2,0.38675,0.26995,0.87954,0.94576,0.83383,0.89117,0.65515,0.93593,0.41137,1.17855,0.001024,0.001024,0.001024
274,14502.7,0.3802,0.26595,0.8778,0.94412,0.83489,0.89283,0.65811,0.93717,0.41347,1.17977,0.000991,0.000991,0.000991
275,14550.3,0.38312,0.2668,0.87866,0.94406,0.83683,0.89184,0.65658,0.93703,0.41409,1.17975,0.000958,0.000958,0.000958
276,14598.1,0.38302,0.26668,0.88075,0.94324,0.83669,0.8911,0.65669,0.9364,0.41424,1.17952,0.000925,0.000925,0.000925
277,14645.9,0.38181,0.26842,0.87973,0.94366,0.84081,0.89383,0.65803,0.93524,0.41459,1.17738,0.000892,0.000892,0.000892
278,14693.6,0.37365,0.26269,0.87895,0.94361,0.8416,0.89536,0.65873,0.93606,0.41431,1.17823,0.000859,0.000859,0.000859
279,14741.2,0.37522,0.26204,0.87833,0.94495,0.83929,0.89481,0.65722,0.93504,0.41611,1.17852,0.000826,0.000826,0.000826
280,14788.7,0.37848,0.26476,0.87907,0.94854,0.84063,0.89475,0.65569,0.93452,0.41557,1.1772,0.000793,0.000793,0.000793
281,14836.2,0.37578,0.26147,0.87879,0.94785,0.83946,0.89802,0.65735,0.93238,0.41636,1.17373,0.00076,0.00076,0.00076
282,14883.8,0.37541,0.25964,0.87758,0.94353,0.84044,0.8961,0.6578,0.9299,0.41779,1.17211,0.000727,0.000727,0.000727
283,14931.4,0.37509,0.26154,0.87646,0.94417,0.8405,0.89642,0.65819,0.92881,0.41709,1.17141,0.000694,0.000694,0.000694
284,14979.3,0.3728,0.25871,0.87201,0.94329,0.84162,0.89641,0.65939,0.92852,0.4181,1.17025,0.000661,0.000661,0.000661
285,15026.9,0.36909,0.25743,0.87366,0.95102,0.83481,0.89653,0.6599,0.92792,0.41947,1.16943,0.000628,0.000628,0.000628
286,15075.1,0.36798,0.25862,0.87394,0.94885,0.83664,0.89672,0.6588,0.92894,0.42013,1.17125,0.000595,0.000595,0.000595
287,15122.7,0.36692,0.25697,0.87349,0.95253,0.83662,0.89722,0.65816,0.92931,0.42132,1.17289,0.000562,0.000562,0.000562
288,15170.6,0.36732,0.25457,0.8732,0.95145,0.83607,0.89864,0.65911,0.92781,0.42144,1.1716,0.000529,0.000529,0.000529
289,15218.1,0.36543,0.25508,0.87389,0.95866,0.83131,0.89898,0.6605,0.92778,0.42188,1.17126,0.000496,0.000496,0.000496
290,15265.9,0.36679,0.25709,0.87429,0.95547,0.83163,0.8986,0.65903,0.92847,0.42152,1.17121,0.000463,0.000463,0.000463
291,15327.9,0.36887,0.22209,0.86048,0.95486,0.83115,0.89783,0.65839,0.9311,0.42084,1.17381,0.00043,0.00043,0.00043
292,15375.6,0.35438,0.21403,0.85804,0.95535,0.82928,0.89806,0.65798,0.93391,0.41997,1.1767,0.000397,0.000397,0.000397
293,15423.4,0.34813,0.21036,0.85352,0.9448,0.8403,0.90004,0.65793,0.93588,0.42125,1.17917,0.000364,0.000364,0.000364
294,15470.8,0.34204,0.20828,0.84952,0.95426,0.83428,0.89849,0.65558,0.93761,0.42282,1.18195,0.000331,0.000331,0.000331
295,15518.2,0.3378,0.20552,0.84855,0.94787,0.83526,0.89824,0.65424,0.93945,0.42499,1.18408,0.000298,0.000298,0.000298
296,15565.8,0.34134,0.20657,0.85078,0.95011,0.83592,0.89825,0.65221,0.93974,0.42503,1.18367,0.000265,0.000265,0.000265
297,15613.5,0.33789,0.20708,0.85309,0.94866,0.83661,0.89761,0.65226,0.93957,0.42543,1.18299,0.000232,0.000232,0.000232
298,15661.1,0.33341,0.20375,0.84785,0.96249,0.82243,0.8968,0.65185,0.94089,0.42917,1.18463,0.000199,0.000199,0.000199
299,15708.6,0.3324,0.20136,0.84674,0.97433,0.81661,0.89677,0.6516,0.94093,0.43214,1.18549,0.000166,0.000166,0.000166
300,15756.4,0.33451,0.20332,0.84955,0.96368,0.8217,0.89788,0.65117,0.94189,0.43368,1.18654,0.000133,0.000133,0.000133
