epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2126.96,0.80802,0.63528,1.1011,0.92431,0.7363,0.80849,0.50432,1.23372,0.65967,1.34206,0.008614,0.008614,0.008614
44,2176.5,0.79955,0.6331,1.09175,0.91967,0.74338,0.81213,0.50604,1.26136,0.63656,1.37189,0.008581,0.008581,0.008581
45,2225.26,0.78944,0.62098,1.09209,0.90589,0.73392,0.80011,0.50895,1.26449,0.66386,1.33118,0.008548,0.008548,0.008548
46,2274.45,0.79467,0.62742,1.0907,0.91106,0.74579,0.80611,0.52637,1.155,0.61769,1.24413,0.008515,0.008515,0.008515
47,2326.44,0.79049,0.61957,1.08769,0.91061,0.73799,0.818,0.51846,1.215,0.62726,1.31879,0.008482,0.008482,0.008482
48,2477.5,0.78151,0.6084,1.08417,0.92375,0.7404,0.81809,0.49852,1.30215,0.66152,1.37483,0.008449,0.008449,0.008449
49,2532.32,0.77062,0.60355,1.08033,0.9394,0.73951,0.81927,0.51686,1.22718,0.61557,1.3223,0.008416,0.008416,0.008416
50,2582.4,0.77381,0.5985,1.07923,0.92786,0.75951,0.81618,0.49291,1.31666,0.64474,1.43754,0.008383,0.008383,0.008383
51,2648.08,0.77133,0.59789,1.07861,0.87886,0.74928,0.80367,0.49111,1.30061,0.65533,1.40795,0.00835,0.00835,0.00835
52,2706.2,0.76548,0.59317,1.07355,0.9217,0.73951,0.81064,0.51524,1.21729,0.62859,1.32411,0.008317,0.008317,0.008317
53,2772.44,0.76143,0.58596,1.07439,0.91807,0.75246,0.82101,0.53702,1.17885,0.60239,1.2923,0.008284,0.008284,0.008284
54,2835.82,0.77253,0.58491,1.06757,0.92315,0.7411,0.81708,0.51003,1.32973,0.63112,1.3805,0.008251,0.008251,0.008251
55,2885.09,0.74954,0.57958,1.0622,0.92851,0.76073,0.82027,0.51661,1.23062,0.6095,1.35017,0.008218,0.008218,0.008218
56,2935.1,0.75032,0.57888,1.06202,0.91028,0.77069,0.81953,0.50826,1.28922,0.62561,1.37919,0.008185,0.008185,0.008185
57,2984.53,0.74401,0.56905,1.06293,0.92257,0.73792,0.81984,0.54849,1.1266,0.57547,1.27009,0.008152,0.008152,0.008152
58,3033.53,0.74962,0.57133,1.0603,0.92375,0.76364,0.82752,0.52831,1.16758,0.59843,1.27815,0.008119,0.008119,0.008119
59,3082.19,0.73521,0.56412,1.05684,0.90095,0.75924,0.82123,0.53433,1.20135,0.59113,1.29572,0.008086,0.008086,0.008086
60,3131.11,0.73621,0.5601,1.05278,0.88647,0.77024,0.82396,0.52976,1.21672,0.57973,1.31486,0.008053,0.008053,0.008053
61,3180.09,0.72874,0.5549,1.05201,0.89331,0.774,0.83209,0.54475,1.1314,0.5795,1.26861,0.00802,0.00802,0.00802
62,3228.63,0.72336,0.55599,1.05428,0.93233,0.7611,0.83215,0.53512,1.19407,0.58285,1.30252,0.007987,0.007987,0.007987
63,3283.82,0.73123,0.55434,1.05306,0.9289,0.76238,0.82318,0.51517,1.25655,0.57119,1.37989,0.007954,0.007954,0.007954
64,3333.68,0.72131,0.54494,1.04877,0.90901,0.761,0.82177,0.52052,1.22688,0.58758,1.33161,0.007921,0.007921,0.007921
65,3479.76,0.71844,0.54059,1.04863,0.91612,0.76891,0.82946,0.55083,1.12649,0.57675,1.26021,0.007888,0.007888,0.007888
66,3667.98,0.71737,0.53531,1.04272,0.92483,0.77701,0.83356,0.55313,1.1507,0.56997,1.28076,0.007855,0.007855,0.007855
67,3854.46,0.70675,0.53068,1.03529,0.90146,0.79257,0.84204,0.5586,1.14307,0.55981,1.2833,0.007822,0.007822,0.007822
68,4043.26,0.70985,0.53753,1.03921,0.9063,0.77581,0.82916,0.55967,1.09213,0.567,1.24505,0.007789,0.007789,0.007789
69,4110.81,0.70409,0.52426,1.03211,0.93023,0.75944,0.83664,0.5681,1.08782,0.54486,1.24001,0.007756,0.007756,0.007756
70,4159.72,0.69686,0.5191,1.02877,0.93293,0.77175,0.831,0.54962,1.14663,0.5644,1.27526,0.007723,0.007723,0.007723
71,4208.37,0.69987,0.52251,1.03152,0.94057,0.77173,0.83596,0.5573,1.12252,0.5431,1.25937,0.00769,0.00769,0.00769
72,4257.73,0.69845,0.52748,1.03794,0.91977,0.77225,0.82846,0.55609,1.10162,0.55145,1.25045,0.007657,0.007657,0.007657
73,4306.61,0.69521,0.52309,1.03447,0.93294,0.76978,0.83337,0.54637,1.15497,0.55864,1.28795,0.007624,0.007624,0.007624
74,4355.13,0.69338,0.5091,1.02498,0.9202,0.78754,0.83754,0.55377,1.1456,0.53903,1.26732,0.007591,0.007591,0.007591
75,4403.28,0.69343,0.51038,1.0246,0.9362,0.75294,0.83544,0.54782,1.18389,0.56697,1.3018,0.007558,0.007558,0.007558
76,4452.07,0.68677,0.50743,1.02442,0.93244,0.78153,0.84142,0.56009,1.11046,0.53876,1.26533,0.007525,0.007525,0.007525
77,4501.92,0.67588,0.49957,1.01839,0.92857,0.75896,0.82715,0.53778,1.15547,0.5606,1.28081,0.007492,0.007492,0.007492
